Marke / Brand;Kurzcharakteristik 1;Kurzcharakteristik 2;Kurzcharakteristik 3;Preis;Qualität;Schwerpunkt;Design;Positionierung;Heritage;Herkunft;Bekanntheit;Umsatz
DANIELE FIESOLI;Italienisches Knitwear-Design mit Finesse;Feinstrick, moderne Farben, luxuriöse Materialien;Handwerk trifft modischen Minimalismus;3,5;4,0;2,0;3,0;2,5;2,5;5,0;2,0;1
DESOTO;Bügelfreie Jersey-Hemden mit Bewegungsfreiheit;Nachhaltig produziert in Europa;Ideal für Business mit Komfortanspruch;3,0;3,5;2,0;2,5;3,0;3,0;4,0;2,0;1
DIGEL;Deutsche Businessmode mit perfektem Sitz;Mix aus Klassik und modischer Aktualität;Für den modernen Gentleman mit Anspruch;2,5;2,5;4,0;2,5;3,5;3,0;4,0;2,5;3
DRESSLER;Traditionelle Anzugmode aus deutscher Fertigung;Hochwertige Materialien, klassische Linien;Maßgeschneiderter Anspruch seit Generationen;3,0;3,0;3,0;2,5;3,5;3,0;4,0;2,0;2
dubarry;Irische Outdoor-Marke mit maritimem Erbe;Funktionale Boots und Jacken für Wasser & Land;Robuste Qualität mit elegantem Country-Flair;3,5;4,0;2,5;1,5;2,0;4,0;5,0;2,0;1
EA7;Sportliche Linie von Emporio Armani mit Fokus auf Performance;Edler Athleisure-Look für Training und Freizeit;Italienisches Design trifft Funktion;3,0;3,0;2,0;3,5;1,5;3,0;1,0;3,5;1
Emporio Armani;Eleganter Mix aus High Fashion und sportlicher Dynamik;Jüngere, modische Linie von Giorgio Armani;Italienischer Stil mit urbaner Leichtigkeit;3,5;3,5;4,5;3,5;3,5;3,5;1,0;4,5;2
ETERNA;Bügelfreie Businesshemden mit perfektem Sitz;Nachhaltige Produktion mit OEKO-TEX® Standard;Tradition seit 1863 – modern interpretiert;2,5;3,0;2,0;2,0;3,5;4,5;4,0;3,5;2
ETON;Schwedische Premium-Hemden mit makelloser Qualität;Perfekte Schnitte und edle Stoffe – Business auf höchstem Niveau;Innovativ, stilvoll, kompromisslos in Qualität;4,0;4,5;2,0;2,5;4,0;3,5;4,0;3,0;2
Eurex by Brax;Komfort-Hosen mit perfekter Passform und Dehnbund;Fokus auf Bequemlichkeit bei klassischem Look;Ideal für Männer, die Wert auf Funktion & Stil legen;2,5;3,0;3,0;2,0;3,0;3,0;4,0;2,5;1
Falke;Deutsche Traditionsmarke für Strümpfe & Sportbekleidung;Hohe Qualität, perfekte Passform, sportlicher Komfort;Für Performance wie für Alltag;3,0;4,0;1,0;2,0;5,0;5,0;4,0;3,0;3
FIL NOIR;Italienisches Hemdenlabel mit Vintage-Flair;Weiche Stoffe, entspannte Schnitte, raffinierte Details;Authentisch, bewusst, traditionsreich;3,0;3,5;2,5;3,0;3,0;2,5;5,0;2,0;1
FIRE + ICE;Sportliche Linie von BOGNER mit Fokus auf Skimode und Urbanwear;Funktion und Fashion für Berge und Stadt;Aktiver Look mit modischem Anspruch;3,5;3,5;2,5;3,0;1,5;3,0;4,0;2,5;1
Floris van Bommel;Niederländische Herrenschuhe mit Charakter;Klassisches Handwerk trifft auf moderne Designideen;Exzentrisch, hochwertig, traditionsreich;3,5;4,0;1,0;3,0;3,0;4,0;4,0;3,0;1
Fred Perry;Britischer Street-Style mit sportlicher Geschichte;Ikonische Polohemden mit Lorbeerkranz-Logo;Mod-Kultur, Subkultur, Stilbewusstsein;2,5;3,0;2,5;2,0;2,0;4,0;5,0;3,5;5
Fynch-Hatton;Casualwear mit Abenteuergeist und Qualität;Inspiriert von Afrika – maskulin, bodenständig, authentisch;Ideal für Freizeit und moderne Outdoor-Looks;2,5;2,5;4,0;2,0;2,0;2,5;4,0;2,5;2
Gant;Amerikanischer Preppy-Stil mit europäischen Einflüssen;Smart Casual für stilbewusste Alltagslooks;Klassische Hemden, Knitwear und Polos mit Ivy-League-Flair;3,0;3,0;4,0;2,0;2,5;4,0;2,0;3,5;3
GARDEUR;Perfekte Hosenpassform mit deutscher Präzision;Business- und Freizeit-Looks in hochwertiger Verarbeitung;Zeitlos, tragbar, komfortorientiert;2,5;3,0;3,0;2,0;3,5;4,0;4,0;2,5;1
GEOX;Atmungsaktive Schuhe mit patentierter Technologie;Funktionalität trifft auf italienischen Stil;„Schuhe, die atmen“ – für Alltag, Business und Freizeit;2,5;3,0;1,0;2,5;2,5;3,0;5,0;3,5;1
Gran Sasso;Italienisches Strickhandwerk in Perfektion;Edle Materialien und feine Verarbeitung;Zeitlos elegant – von Polos bis Rollkragen;3,5;4,0;2,0;2,0;3,0;4,0;5,0;2,5;2
HACKETT;Britischer Gentleman-Stil mit sportlicher Note;Traditionelle Eleganz neu interpretiert;Londoner Heritage trifft auf moderne Maskulinität;3,5;4,0;4,0;2,0;3,5;3,5;5,0;3,0;2
handstich;Premiumjacken mit sportlich-edler Handschrift;Detailverliebt, technisch, stilvoll;Für moderne Entdecker und urbane Outdoor-Typen;3,5;4,0;2,0;2,5;3,5;2,5;4,0;1,5;1
HANRO;Schweizer Wäscheluxus mit puristischer Ästhetik;Weiche Stoffe, perfekte Passform, zeitlose Eleganz;Loungewear auf höchstem Niveau;4,0;4,5;1,5;2,0;3,5;5,0;4,0;3,0;1
Hechter Paris;Französische Herrenmode mit urbanem Chic;Sportlich-elegant, tragbar, dezent modern;Für Männer mit Sinn für französische Klassik;3,0;3,0;4,0;2,5;3,0;4,0;1,0;3,0;4
Hiltl;Perfekte Herrenhosen aus deutscher Schneidertradition;Exakte Passform, beste Materialien, langlebiger Tragekomfort;Hochwertige Verarbeitung seit Generationen;3,0;3,5;3,0;2,0;3,5;4,0;2,0;2,5;3
HOM;Französische Unterwäsche mit stilvoller Funktion;Komfort, Passform, Eleganz – für Tag und Nacht;;3,0;3,5;1,5;2,5;3,0;3,5;5,0;2,5;1
HUGO;Trendige Linie von BOSS – jung, kreativ, modern;Mode mit Fokus auf Individualität und urbanen Stil;Modisch-progressive Schnitte und starke Farbkonzepte;3,0;3,0;4,0;3,5;3,5;4,0;4,0;4,5;3
John Smedley;Feinste Strickwaren aus England seit 1784;Luxuriös, zeitlos, aus Sea Island Cotton und Merinowolle;Tradition und Understatement auf höchstem Niveau;4,0;4,5;2,0;2,0;3,5;5,0;5,0;2,5;1
Joop!;Deutsche Designermarke mit markantem Modebewusstsein;Urban, selbstbewusst, modisch-elegant;Für Männer mit Stil und Attitüde;3,0;3,0;4,5;3,5;3,0;3,0;4,0;4,0;5
Karl Lagerfeld;Modelegende trifft auf futuristischen Stil;Monochrom, ikonisch, avantgardistisch;Streetstyle mit Couture-Attitüde;3,5;3,0;4,0;3,5;3,0;3,0;1,0;4,5;3
K-WAY;Französische Funktionsjacken mit Kultstatus;Leicht, wasserfest, faltbar – perfekt für unterwegs;Urban Outdoor mit Retro-Charme;2,5;3,0;2,0;2,5;1,5;3,5;5,0;3,0;1
LACOSTE;Französischer Sportswear-Klassiker mit Kultstatus;Erfinder des Poloshirts mit Krokodil-Logo;Casual Chic mit sportlicher Eleganz;3,0;3,0;4,0;2,0;2,5;4,5;5,0;4,5;2
Lee;Authentische Denimwear mit US-Tradition;Robuste Jeansmode für Arbeit und Freizeit;Casual, funktional, ikonisch;2,0;2,5;3,0;2,5;2,0;5,0;4,0;4,0;1
LLOYD;Deutsche Herrenschuhe mit Komfort und Stil;Die Schuhe mit der roten Sohle als Markenzeichen;Business, Casual und Sneaker – immer hochwertig;3,0;3,0;1,0;2,0;3,5;4,0;4,0;3,5;2
Maerz;Strickkompetenz aus München seit 1920;Merinowolle, klassische Passformen, langlebig;Qualität trifft auf Understatement;3,0;4,0;2,0;2,0;2,5;4,5;4,0;2,5;3
Marc O'Polo;Urban Natural Style – skandinavisch inspiriert, modern umgesetzt;Natürliche Materialien, klare Linien;Casualwear mit Premium-Attitüde;3,0;3,0;4,0;2,5;2,5;3,5;2,0;4,0;3
Mason's;Italienische Hosenmarke mit Military-Flair;Markante Details, hochwertige Stoffe;Eleganter Utility-Look für Alltag & Business;3,0;3,5;3,0;3,0;3,0;3,0;5,0;2,0;1
Mey;Hochwertige Wäsche mit perfekter Passform und Nachhaltigkeit;Alltagstauglich, bequem, fair produziert;Moderne Klassiker mit Wohlfühlfaktor;3,0;4,0;2,0;2,0;3,5;4,0;4,0;3,0;3
Milestone;Jackenspezialist mit urbanem Anspruch;Funktionale Details, modisches Design;Für Männer mit Sinn für Qualität und Look;3,0;3,0;2,0;3,0;2,5;4,0;2,0;2,0;3
MUSTANG;Authentische Jeansmarke aus Deutschland;Robuste Qualität, klassische Passformen;Denim für Individualisten seit 1932;2,0;2,0;3,0;2,5;2,0;4,0;4,0;3,5;1
N.Z.A.;New Zealand Auckland – Sportswear mit Abenteuergeist;Farbenfroh, robust, inspiriert von Natur & Reise;Casualwear mit Outdoor-Charakter;2,5;2,5;4,0;2,5;2,0;2,0;2,0;2,0;2
NAPAPIJRI;Italienisches Outdoorlabel mit norwegischer Seele;Jacken, Polos & Rucksäcke für Urban Explorer;Expedition trifft Design;3,0;3,0;2,5;3,0;1,5;3,0;4,0;3,5;2
NORTH SAILS;Nachhaltige Sportswear mit maritimer DNA;Funktionale Segelmode trifft moderne Streetwear;Mode mit ökologischem Bewusstsein;3,0;3,0;4,0;2,5;1,5;3,0;4,0;2,5;1
Novila;Edle Nachtwäsche „Made in Germany“;Weich, hochwertig, zeitlos – Komfort auf höchstem Niveau;;3,0;4,0;1,5;2,0;3,5;4,0;4,0;2,0;2
Olaf Benz;Premium-Unterwäsche mit perfektem Sitz;Körpernah, glatt, funktionell – Made in Germany;Moderne Ästhetik trifft auf Hightech-Materialien;3,0;3,0;1,5;3,0;3,0;3,0;4,0;2,0;1
Olymp;Hemden-Experte aus Deutschland mit kompromissloser Qualität;Bügelfrei, business-tauglich, zeitlos modern;Klassiker für Büro, Event und Alltag;2,5;3,0;2,0;2,5;4,0;4,0;2,0;3,5;5
OLYMP Signature;Premiumlinie von OLYMP – höchste Qualität und edle Details;Exklusive Stoffe, maßinspirierte Passform;Für Männer mit höchsten Ansprüchen an Businesshemden;3,0;3,5;2,0;2,5;4,0;4,0;4,0;3,0;1
Panama Jack;Robuste Boots und Outdoor-Schuhe aus Spanien;Wetterfest, langlebig, komfortabel;Für Abenteuer und Urban Outdoor;3,0;3,5;1,0;1,5;2,0;3,5;4,0;3,0;1
PARAJUMPERS;Performancejacken mit Expeditionscharakter;Funktionalität auf höchstem Niveau, ikonische Details;Für extreme Bedingungen und urbanes Leben;4,0;4,0;2,0;3,0;1,5;2,5;5,0;3,0;2
Pepe Jeans;Britischer Denim-Style mit jugendlicher Attitüde;Casualwear mit modischen Akzenten;London Spirit trifft auf Alltagstauglichkeit;2,5;2,5;3,0;3,0;2,0;3,5;4,0;3,5;1
PEUTEREY;Italienische Jackenspezialisten mit urbanem Anspruch;Die Jacke. Klare Schnitte, Hightech-Stoffe, City-tauglich;Jacken aus Italien. Eleganz trifft Funktion;3,5;3,5;2,0;3,0;2,0;3,0;5,0;3,0;1
Pierre Cardin;Französische Designermode mit internationaler Strahlkraft;Zeitloser Stil für Business und gepflegte Freizeit;Erreichbarer Luxus für jeden Tag;2,5;2,5;4,0;2,0;3,5;4,0;5,0;4,0;4
Polo Ralph Lauren;Amerikanischer Preppy-Stil mit weltweitem Kultstatus;Ikonische Polos, College-Optik, gehobene Freizeitmode;Tradition, Klasse und Lebensstil in einem Look;3,5;3,5;5,0;2,0;2,5;3,5;2,0;5,0;5
Prime Shoes;Klassische Rahmengenähte Herrenschuhe;Deutsche Qualität, stilvoll und langlebig;Für Business und besondere Anlässe;3,5;4,0;1,0;2,0;3,5;3,0;4,0;2,0;1
RAGMAN;Casualwear mit Komfort und Qualität;Strick, Polos und Basics für jeden Tag;Unkompliziert, gepflegt, tragbar;2,0;2,0;2,0;2,0;2,5;3,0;4,0;2,0;2
Replay;Italienisches Denimlabel mit urbanem Edge;Waschungen, Used-Effekte, moderne Schnitte;Jeansmode mit rebellischer Attitüde;3,0;3,0;3,0;3,5;2,0;3,5;5,0;3,5;3
rosso e nero;Italienische Schuhe mit modernem Business-Twist;Formell und doch leger – für smarte Auftritte;Italienische Manufaktur-Qualität. Einzig in Preis/Leistung;3,0;3,0;3,0;2,5;3,0;2,5;5,0;2,0;1
Roy Robson;Smarte Anzüge & Businessmode mit modernem Flair;Deutsche Anzug-Marke mit internationaler Ausrichtung;Ein Anzug der Passform, Funktion und Stil vereint;2,5;3,0;4,0;3,0;3,5;3,0;2,0;2,5;4
SAVE THE DUCK;Vegane Jackenmarke mit Funktion & Nachhaltigkeit;Tierfrei, technisch, urban;„No Duck Down“ – verantwortungsvolle Outdoor-Mode;3,0;3,0;2,0;3,0;1,5;2,0;5,0;2,5;2
Schiesser;Deutsche Wäscheklassiker seit 1875;Funktional, bequem, langlebig – Qualität für jeden Tag;Tradition trifft Moderne;2,5;3,5;2,0;1,5;2,5;5,0;4,0;3,5;2
Seidensticker;Hemdenmarke mit Tradition und Innovationsgeist;Bügelfrei, stilvoll, modern klassisch;Seit 1919 – Qualität aus Bielefeld;2,5;3,0;2,0;2,0;3,5;4,5;4,0;3,5;2
Stenströms;Schwedische Premium-Hemden mit makelloser Verarbeitung;Das schwedische Hemd. Edle Stoffe, klassische Eleganz, luxuriöse Details;Das edle Hema aus Schweden. Businessmode mit nordischem Stil;3,5;4,0;2,0;2,0;3,5;4,5;4,0;2,5;2
Strellson;Schweizer Marke für smarte Business- und Casualwear;Geradlinig, urban, international;Für Männer mit Haltung und Stil;3,0;3,0;4,0;3,0;3,5;3,0;4,0;3,0;4
Timberland;Robuste Boots mit amerikanischer Outdoor-DNA;Klassiker in Gelb – langlebig, markant und wetterfest;Mode für Natur, Stadt und Straße;3,0;3,5;3,0;2,5;2,0;4,0;4,0;4,5;1
Tommy Hilfiger;Amerikanischer Preppy-Stil mit weltweiter Bekanntheit;Ikonische Farben, sportlich-elegant;Casualwear mit Ivy-League-Attitüde;3,0;2,5;5,0;3,0;2,5;3,5;4,0;4,5;3
tramarossa;Italienische Luxusjeans mit Maßanspruch;Die italienische Jeans. Individuell, handgefertigt, edle Stoffe;Die italienische Edel-Jeans mit persönlicher Gravur;3,5;4,0;3,0;3,0;2,5;3,0;5,0;2,0;1
van Laack;Hemden mit Maßanspruch und luxuriösen Details;Das Premiumhemd. Feine Stoffe, perfekte Passformen, edle Knöpfe;Das Premiumhemd aus Deutschland seit 1881;3,5;4,0;2,0;2,0;3,5;4,5;4,0;3,0;2
Windsor;Deutsche Luxusmarke für Business- und Casualwear;Zurückhaltender Stil, exzellente Stoffe;Zeitlose Eleganz für jeden Tag;3,5;3,5;4,0;2,5;3,5;3,5;4,0;3,0;1
WOOLRICH;Outdoorjacken mit amerikanischer Geschichte;Funktion trifft Heritage – Parkas mit Kultstatus;Robuste Materialien, ikonische Silhouetten;4,0;4,0;2,5;2,0;2,0;5,0;4,0;3,5;3
Wrangler;Authentische Denimwear aus den USA;Lässiger Western-Style mit funktionaler Ausrichtung;Cowboys, Rodeo & Rock 'n' Roll;2,0;2,5;3,0;2,0;2,0;5,0;4,0;4,0;1
Zimmerli;Schweizer Wäscheluxus seit 1871;Feinste Materialien, makellose Verarbeitung;„The world’s finest underwear“;4,5;5,0;1,5;1,5;3,5;5,0;4,0;2,5;2
;;;;;;;;;;;;
